Course Code|Section GPA|Course CPA*
CS 223|2.73|2.58
CS 223|2.41|2.58
CS 223|2.5|2.58
CS 223|2.37|2.3
CS 223|2.54|2.3
CS 223|2.88|2.08
CS 223|2.57|2.08
CS 223|2.89|2.55
CS 223|2.42|2.55
CS 223|3.15|2.82
CS 223|2.84|2.82
CS 223|2.17|2.37
CS 223|2.67|2.37
CS 223|2.33|2.16
CS 223|2.19|2.16
CS 223|2.3|2.38
CS 223|2.45|2.38
CS 223|1.89|2.3
CS 223|2.03|2.3
